Unnamed: 0,district,school,county,grspan,students,teachers,calwpct,mealpct,compstu,expnstu,avginc,elpct,readscr,mathscr,score
1,75119,Sunol Glen Unified,Alameda,KK-08,195,,0.510200024,2.040800095,67.0,6384.911133,22.69000053,none,691.5999756,690.0,690.7999878
2,61499,Manzanita Elementary,Butte,KK-08,240,11.14999962,15.41670036,47.91669846,101.0,5099.380859,9.824000359,4.583333492,660.5,661.9000244,661.2000122
3,61549,Thermalito Union Elementary,Butte,KK-08,1550,82.90000153,55.03229904,76.32260132,169.0,5501.95459,8.977999687,30.00000191,636.2999878,650.9000244,643.6000061
4,61457,Golden Feather Union Elementary,Butte,KK-08,243,14.0,,77.04920197,85.0,7101.831055,8.977999687,none,651.9000244,643.5,647.7000122
5,61523,Palermo Union Elementary,Butte,KK-08,1335,71.5,33.10860062,78.42700195,171.0,5235.987793,9.080332756,13.85767746,641.7999878,639.9000244,640.8500061
6,62042,Burrel Union Elementary,Fresno,KK-08,137,6.400000095,12.31879997,86.95649719,25.0,5580.146973,10.41499996,12.40875912,605.7000122,605.4000244,605.5500182999999
7,68536,Holt Union Elementary,San Joaquin,KK-08,195,10.0,12.90320015,94.623703,28.0,5253.331055,6.577000141,68.71794891,604.5,609.0,606.75
8,63834,Vineland Elementary,Kern,KK-08,888,42.5,18.80629921,100.0,66.0,4565.746094,8.173999786,46.95946121,605.5,612.5,609.0
9,62331,Orange Center Elementary,Fresno,KK-08,379,19.0,32.18999863,93.13980103,35.0,5355.54834,7.385000229,30.07915688,608.9000244,616.0999756,612.5
10,67306,Del Paso Heights Elementary,Sacramento,KK-06,2247,108.0,78.99420166,87.31639862,none,5036.211426,11.61333275,40.27592087,611.9000244,613.4000244,612.6500244
11,65722,Le Grand Union Elementary,Merced,KK-08,446,21.0,18.60989952,85.87439728,,4547.692383,8.930999756,52.91479874,612.7999878,618.7000122,615.75
12,62174,West Fresno Elementary,Fresno,KK-08,987,47.0,71.71309662,98.60559845,56.0,5447.345215,7.385000229,54.60993195,616.5999756,616.0,616.2999878
13,71795,Allensworth Elementary,Tulare,KK-08,103,5.0,22.42989922,98.13079834,25.0,6567.149414,5.335000038,42.71844482,612.7999878,619.7999878,616.2999878
14,72181,Sunnyside Union Elementary,Tulare,KK-08,487,24.34000015,24.6093998,77.14839935,none,4818.612793,8.279000282,20.53388023,610.0,622.5999756,616.2999878
15,72298,Woodville Elementary,Tulare,KK-08,649,36.0,14.63790035,76.27120209,31.0,5621.456055,9.630000114,80.1232605,611.9000244,621.0,616.4500122
16,72041,Pixley Union Elementary,Tulare,KK-08,852,42.06999969,24.21419907,94.29570007,80.0,6026.359863,7.453999996,49.41314316,614.7999878,619.9000244,617.3500061
17,63594,Lost Hills Union Elementary,Kern,KK-08,491,28.92000008,11.20160007,97.75969696,100.0,6723.237793,6.21600008,85.53971863,611.7000122,624.4000244,618.0500182999999
18,63370,Buttonwillow Union Elementary,Kern,KK-08,421,25.5,8.551099777,77.90969849,50.0,5589.885254,7.763999939,58.90736389,614.9000244,621.7000122,618.3000182999999
